,common_name,description
36,maple leaf,"Walking or driving through the neighborhood, you definitely get the feeling that this is a true community. “Welcome to Maple Leaf” signs adorn telephone poles, people are out walking with their babies or dogs, and when you go in a local business you are greeted with genuine enthusiasm. The Maple Leaf blog advertises nearby deals, alerts readers to community events, and educates about city-wide issues that may effect residents, with the odd missing-dog announcement thrown in."
37,matthews beach,"You can tell that the people who live here have a respect for nature. Houses are tucked into the shade of giant old evergreen trees and the Burke-Gilman is woodsier than in other parts of the city. Just south of the beach, the natural habitat has been restored to be friendlier to native plants and animals. And while the residential area is a bit secluded, it isn’t far to Lake City Way or Northgate where more of the action lies."
38,meadowbrook,
39,minor,
40,montlake,"This is a community that rallies together to solve issues, usually revolving around environmental preservation. Hot-button issues include the ever-evolving debate about the Highway 520 bridge that cuts through the neighborhood, habitat restoration, and the upkeep of the area’s parks. Not that they can’t let loose and have fun. The community center hosts events like a fall festival, Minute to Win It nights, all kinds of sports and music lessons, and ‘tot’ programs for the little guys."
41,mount baker,"The atmosphere around here is pretty quiet, especially on the Lake Washington side; you’d never guess you were in the middle of a huge city. Farther west, along Rainier Avenue, things are a bit busier, with block after block of businesses. With the recent addition of the light rail station, people can more easily commute in and out of downtown."
42,north admiral,"A quick perusal at the Admiral Neighborhood Association website give you a glimpse into what the vibe of the community is. They claim to be “comprised of residents, business people, and others who care about the environmental, economic, and social sustainability” of the neighborhood. And care, they do. Events like clean-up days, outdoor concerts, community forums, and art walks get everyone involved and feeling like part of something bigger."
43,north beach / blue ridge,"Though years have passed and new types of people have moved in, Blue Ridge has kept its reputation as an elite community. A fancy community club, pristine landscaping, and streets that have a private-access kind of feel further cement this notion."
44,north college park,
45,olympic hills,
46,phinney ridge,"This area is the perfect mix of quiet neighborhood meets in-city energy. Phinney Avenue just begs to be strolled down and enjoyed. New eateries, coffee shops, and fun boutique shops are opening up all the time, and the Phinney Neighborhood Association keeps a steady string of community events on their calendar."
47,pinehurst,
48,portage bay,
49,queen anne,"Well, it depends where you are on the Hill. Lower Queen Anne backs up to the Seattle Center (which includes the Space Needle, Key Arena, Science Center, etc.) and is close to all that downtown has to offer. East and West Queen Anne, which meet in the middle at the top of the hill, are both great residential areas that share a common business district along Queen Anne Avenue. North Queen Anne, which faces Fremont, is home to Seattle Pacific University and has a quieter feel."
50,rainier valley,"A peek at the calendar of events on the Rainier Valley Post Blog shows that this is an organized community who takes great pride in the diversity of the neighborhood. To name a few popular events: International Music and Arts Festival, Big Day of Play, community clean-up days, and the Summer Streets Block Party and Heritage Parade. So even though the residential area is on the quiet side, it’s clear that Rainier Beach can be a place to be out and about, too."
51,ravenna,"This is a remarkably quiet neighborhood, considering how close it is to the hubbub of the U-District and Greenlake. In fact, that’s a good way to describe the general vibe here: kind of, ‘We want to be in on the fun, but we don’t want it to keep us up at night.’ A small stretch of 65th Street near 20th Ave NE provides just enough activity to entertain the residents and draw in a few outsiders for a visit. Ravenna is also proud to call the University Village—aka “U-Village” shopping center part of its family; it’s one of the biggest attractions of the area, not to mention of the city in general!"
52,roosevelt,"Roosevelt is a little peppier than Green Lake and Ravenna, and a little less so than the University District. The intersection of two busy streets—Roosevelt Way running north to south, and 65th Street running east to west—forms a lively business district. The surrounding blocks have a mix of newer apartments/condos and original homes from the early 1900s. It’s a great neighborhood to enjoy on its own and is centrally located to give you easy access to other parts of the city."
53,seaview,
54,south lake union,"It seems that people can’t get enough of South Lake Union these days. Everyone wants to either live here, work here, or come visit. New businesses are opening daily, transportation options are improving, and hip restaurants seem to open almost weekly. Perusing the neighborhood’s website gives a glimpse into what life is like here on a daily basis—tons of events, buzzing press releases about the new amenities, and a great interactive map that shows all of your options for exploring. The neighborhood is quickly being dominated by local technology companies. Amazon.com’s new headquarters is in the neighborhood, and you’re sure to see thousands of Amazonians roaming the streets at lunch time. Other stalwarts like Microsoft and UW Medicine also have a large presence in the neighborhood, along with plenty of up-and-coming tech startups. (The authors of this site hail from South Lake Union.)"
55,south park,"In the past decade or so, South Park has seen a time of refreshing changes. The Duwamish Waterway Park was built along the river and Cesar Chavez Park provides a place to enjoy sculptures and local art. New housing options have been built, and the older ones are gradually being spruced up. Businesses have been moving into the area as a response to the new population growth. All in all, good things are in the future in South Park."
56,stevens,
57,university district,"True to the predictions of its developers, the University District really is a ‘city within a city.’ It is a hub for public transportation (and just wait until the light rail arrives in a few short years!), has its own shopping center in the University Village, and houses a ridiculous number of ever-changing restaurants, bars, and shops along The Ave. Suffice it to say that there are enough things to do to keep thousands of college students busy at all hours of the day and night, year-round."
58,victory heights,
59,view ridge,"This primarily residential area is definitely tranquil and well kept; houses have yards and streets have roundabouts. It’s a great place to be if you aren’t a fan of traffic and other city noise, though you don’t have to go far to run your basic errands; Wedgwood is just down the hill. Plus, if you’re the ‘club’ type of person, Sand Point County Club and View Ridge Swim and Tennis Clubs are both located in this neighborhood."
60,wallingford,"Wallingford has a nice mix of down-home, been-here-forever places (Dick’s Burgers and the Durn Good Grocery, for example) and trendy, hot-for-fall places, like Molly Moon ice cream and Tilth. The busiest area is along 45th Street, which is always bustling with activity as people visit the ever-changing lineup of restaurants, bars, and shops. Farther from the action lies the residential area with some pretty cool old homes."
61,wedgwood,"Wedged (har har) right in the center of north Seattle, this is a great place for families or anyone who wants a quiet and cozy atmosphere that’s still close enough to the action of the city. You’ll find modest houses that once in a while give way to pockets of bustling streets with shops and restaurants (nearly every block has a business that shares a name with the neighborhood—“Wedgwood Dental/Hair Studio/Broiler, etc.”) Strolling down 35th Ave NE is a good way to get a feel for the community, since this is where most commercial businesses are located."
62,westlake,"Westlake is a very narrow sliver of a neighborhood, sandwiched between Aurora Ave and Lake Union. Three major arterial roads cut through the neighborhood as the main routes from downtown to neighborhoods like Fremont, Ballard and Wallingford. Transport to and from downtown is easy, either via bus, car or bicycle.
Westlake does house quite a few folks in a hodge-podge of accommodations. There are still 100 yr homes mixed in with more modern apartments and condos and even some townhomes. Like Eastlake, Westlake also houses a significant enclave of houseboat dwellers along the northwest shore of Lake Union.
Despite its small size, Westlake is fairly crowded, with parking sometimes difficult on its crowded, narrow streets. It is also the land of urban condo/apartment dwellers with very few kids. There are also quite a few office buildings in this area, including some of Seattle’s most unique offices with parking spots for your boat underneath!"
